0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param
,,0.0,,8.0,8.0,0.0,,9.0,,9.0,,8.0,7.0,9.0,6,8.0,,0.0,4,4.0,7.0,,,,,,8.0,9.0,6.0,,,9.0,,3.0,6.0,0.0,,7.0,8.0,7,8.0,9.0,3.0,8.0,2.0,9.0,2.0,8.0,,8.0,,9.0,,9.0,,,,,9.0,,2.0,0.0,9.0,0.0,5,,8.0,9.0,,6.0,,0.0,,,,,8.0,9.0,7.0,3.0,,0.0,,0.0,1.0,6.0,,,0.0,,,14,9
2.0,,,,,6.0,5.0,1.0,0.0,0.0,,7.0,3.0,,0.0,5,6.0,,,6,7.0,7.0,,,2.0,1.0,3.0,,,3.0,7.0,7.0,,,,,,,,7.0,6,6.0,,,7.0,5.0,0.0,6.0,0.0,,7.0,,,,6.0,7.0,,6.0,0.0,0.0,,0.0,4.0,7.0,0.0,4,,5.0,7.0,,2.0,,2.0,,,,7.0,7.0,0.0,6.0,,3.0,7.0,,5.0,,4.0,7.0,,,,,15,9
,,9.0,,10.0,0.0,10.0,0.0,,,,10.0,,7.0,,8,9.0,9.0,,8,10.0,9.0,7.0,,,0.0,0.0,,,0.0,10.0,10.0,,,,,,,10.0,9.0,4,7.0,,10.0,9.0,2.0,10.0,9.0,0.0,,0.0,8.0,9.0,0.0,9.0,,,,2.0,10.0,,1.0,8.0,10.0,,7,,0.0,10.0,,10.0,,,,6.0,,9.0,9.0,8.0,9.0,0.0,1.0,3.0,,,9.0,10.0,10.0,4.0,,,,16,9
,,2.0,,0.0,7.0,5.0,,,0.0,6.0,,1.0,5.0,0.0,5,0.0,7.0,,4,1.0,3.0,,,,,,5.0,0.0,,,,,0.0,7.0,6.0,4.0,,5.0,,6,,,3.0,4.0,7.0,,,7.0,7.0,4.0,,6.0,4.0,,,,,,0.0,,1.0,6.0,,0.0,6,,7.0,7.0,0.0,,,7.0,,,,,,,,,,6.0,0.0,6.0,,,,,7.0,4.0,6.0,17,9
0.0,,0.0,9.0,9.0,6.0,8.0,,9.0,,9.0,,0.0,3.0,9.0,7,6.0,,,7,0.0,,5.0,,,,,8.0,9.0,,,,,8.0,,8.0,,0.0,3.0,8.0,7,6.0,,8.0,8.0,1.0,,9.0,2.0,,9.0,0.0,9.0,,,,,6.0,,5.0,,,7.0,3.0,9.0,7,,,,,,,,0.0,,,,8.0,,9.0,,,0.0,0.0,,0.0,9.0,,,,,,18,9
4.0,,8.0,,9.0,9.0,9.0,5.0,,4.0,4.0,4.0,9.0,7.0,0.0,1,8.0,,8.0,7,8.0,,9.0,,,,3.0,8.0,9.0,8.0,,,,,9.0,6.0,,,0.0,9.0,9,,,0.0,0.0,8.0,,0.0,8.0,,9.0,7.0,9.0,,2.0,,,,,9.0,,,7.0,8.0,,6,,9.0,8.0,0.0,,,,,,,,0.0,0.0,3.0,,6.0,8.0,,,,,9.0,0.0,0.0,,,19,9
5.0,,0.0,,3.0,6.0,7.0,7.0,,3.0,7.0,,0.0,6.0,7.0,5,4.0,,,5,5.0,7.0,,7.0,,,,4.0,7.0,7.0,,,,3.0,7.0,0.0,,,6.0,7.0,6,2.0,5.0,6.0,6.0,6.0,,7.0,0.0,,6.0,,7.0,3.0,0.0,,,,,0.0,,,2.0,3.0,1.0,4,,6.0,7.0,1.0,,,,0.0,,7.0,,4.0,7.0,0.0,,,6.0,0.0,,7.0,,6.0,0.0,,,,20,9
,9.0,9.0,0.0,10.0,6.0,2.0,5.0,9.0,3.0,0.0,3.0,10.0,0.0,10.0,9,9.0,,8.0,0,8.0,0.0,10.0,,,,,10.0,10.0,,,,5.0,,9.0,9.0,3.0,,9.0,,10,,0.0,10.0,8.0,10.0,,,9.0,0.0,,,,,0.0,,,,,2.0,,10.0,10.0,,,6,,10.0,6.0,0.0,,10.0,10.0,,,9.0,,10.0,0.0,,3.0,,7.0,,,,1.0,,,,,,21,9
,,7.0,,9.0,7.0,8.0,7.0,2.0,,9.0,,8.0,7.0,4.0,7,5.0,2.0,,3,7.0,,2.0,,,,,6.0,9.0,,7.0,9.0,4.0,0.0,,9.0,,,8.0,9.0,7,,0.0,0.0,6.0,4.0,,,8.0,,,,,,1.0,,0.0,0.0,,,,,7.0,,,6,,9.0,3.0,0.0,0.0,,9.0,,0.0,9.0,9.0,4.0,8.0,8.0,,0.0,8.0,,,,9.0,8.0,,,,0.0,22,9
8.0,,8.0,0.0,,7.0,8.0,6.0,1.0,0.0,8.0,,,6.0,8.0,5,8.0,,5.0,6,,8.0,,,0.0,,,0.0,,0.0,,1.0,,5.0,,8.0,,,8.0,6.0,7,2.0,,8.0,2.0,,8.0,0.0,,,7.0,,,,7.0,,,7.0,0.0,7.0,,0.0,7.0,8.0,,6,7.0,0.0,,,,,3.0,,0.0,,5.0,2.0,,8.0,,,8.0,,8.0,,,,4.0,,,,23,9
1.0,,7.0,,7.0,8.0,7.0,7.0,8.0,1.0,6.0,,7.0,1.0,8.0,4,6.0,,,2,0.0,,3.0,,,,,6.0,7.0,0.0,,8.0,,,7.0,6.0,8.0,0.0,5.0,8.0,6,,8.0,6.0,5.0,8.0,,,0.0,8.0,4.0,,5.0,,8.0,8.0,0.0,,2.0,,,0.0,8.0,7.0,3.0,3,,,,,,,0.0,,0.0,,,8.0,,8.0,,,1.0,,8.0,8.0,0.0,,4.0,0.0,,,24,9
0.0,,8.0,,9.0,8.0,0.0,5.0,3.0,,9.0,,9.0,9.0,,8,7.0,1.0,7.0,6,8.0,,,,,,,9.0,,9.0,,5.0,,,6.0,0.0,,,8.0,7.0,8,8.0,9.0,5.0,9.0,9.0,0.0,9.0,7.0,9.0,9.0,3.0,0.0,,9.0,,,9.0,0.0,2.0,2.0,9.0,7.0,0.0,,2,,0.0,8.0,,0.0,,,,,2.0,9.0,9.0,9.0,7.0,,,0.0,,,4.0,,9.0,,,,,25,9
,,9.0,,9.0,0.0,8.0,1.0,0.0,,9.0,,9.0,9.0,,9,9.0,,0.0,7,0.0,,,9.0,,1.0,,8.0,5.0,,,0.0,5.0,,0.0,9.0,,,9.0,7.0,8,,9.0,0.0,8.0,6.0,,,7.0,,,,9.0,,,,3.0,,,,,,8.0,0.0,,8,,5.0,2.0,,7.0,,,,,,,9.0,3.0,7.0,9.0,,8.0,,,0.0,0.0,9.0,,,,,26,9
,,7.0,,4.0,5.0,7.0,,,,,,6.0,7.0,,4,2.0,,0.0,3,3.0,6.0,0.0,,,,,0.0,,,0.0,6.0,7.0,,6.0,5.0,,,7.0,6.0,7,0.0,4.0,7.0,,0.0,2.0,7.0,,,0.0,,,,7.0,,,,0.0,,,7.0,2.0,,0.0,4,,5.0,3.0,,3.0,,,,,,6.0,6.0,6.0,4.0,,7.0,6.0,,,,1.0,0.0,,,,,27,9
,,,,2.0,4.0,0.0,,1.0,,,,2.0,,0.0,3,6.0,5.0,,3,6.0,0.0,,5.0,6.0,,,,,5.0,0.0,,,,,,,,,2.0,0,1.0,,,,6.0,2.0,4.0,,,5.0,,,,4.0,,6.0,0.0,0.0,5.0,,6.0,3.0,6.0,,3,0.0,0.0,6.0,,6.0,5.0,,,,,4.0,6.0,6.0,6.0,,,5.0,0.0,6.0,,3.0,5.0,,,,,28,9
,,5.0,,,0.0,7.0,,7.0,,0.0,,7.0,7.0,7.0,2,6.0,1.0,,0,5.0,,,4.0,,,,7.0,,6.0,6.0,,,,7.0,7.0,,0.0,2.0,4.0,4,0.0,0.0,7.0,6.0,6.0,1.0,7.0,4.0,,7.0,,,,7.0,,7.0,,,,,,5.0,0.0,7.0,3,,6.0,6.0,,0.0,,,0.0,3.0,1.0,7.0,5.0,7.0,4.0,,6.0,6.0,,,,,5.0,1.0,,0.0,,29,9
0.0,1.0,9.0,,9.0,7.0,8.0,9.0,0.0,5.0,8.0,1.0,9.0,9.0,9.0,3,8.0,,6.0,6,7.0,0.0,5.0,,0.0,,4.0,,9.0,9.0,8.0,9.0,,,0.0,9.0,3.0,,1.0,9.0,8,8.0,,4.0,7.0,9.0,,,9.0,5.0,9.0,,,,9.0,9.0,,9.0,9.0,0.0,,4.0,8.0,,,4,,0.0,8.0,,0.0,,0.0,,,5.0,9.0,9.0,9.0,8.0,,0.0,8.0,7.0,9.0,,,7.0,,9.0,1.0,,30,9
0.0,5.0,7.0,6.0,9.0,9.0,10.0,0.0,0.0,7.0,10.0,,9.0,9.0,10.0,9,8.0,,,7,8.0,2.0,,,,,,6.0,10.0,2.0,10.0,1.0,,,0.0,3.0,0.0,,10.0,10.0,9,10.0,10.0,8.0,9.0,0.0,,2.0,9.0,10.0,0.0,0.0,10.0,0.0,9.0,8.0,,,,10.0,,10.0,8.0,10.0,,4,,9.0,1.0,,,0.0,,,,,,10.0,10.0,7.0,6.0,,9.0,,8.0,10.0,9.0,,,,10.0,,31,9
,5.0,0.0,,7.0,6.0,6.0,1.0,4.0,,7.0,,7.0,0.0,,7,7.0,,,6,1.0,,,,2.0,,,0.0,,,,,7.0,6.0,7.0,7.0,0.0,,6.0,5.0,0,3.0,7.0,7.0,5.0,7.0,,,0.0,,,,,,6.0,1.0,,,,,,,6.0,4.0,,5,,7.0,6.0,,0.0,1.0,0.0,,,,7.0,7.0,2.0,0.0,,3.0,6.0,4.0,,,1.0,7.0,,0.0,,,32,9
,,0.0,,0.0,5.0,0.0,,6.0,,3.0,,6.0,4.0,,6,,,,4,5.0,,,,5.0,,,0.0,6.0,1.0,,,,,5.0,3.0,,,3.0,3.0,5,5.0,,6.0,6.0,6.0,4.0,0.0,6.0,4.0,6.0,,,,2.0,0.0,,5.0,6.0,6.0,5.0,6.0,4.0,6.0,,4,4.0,5.0,,,,,,,,,0.0,6.0,,0.0,,,5.0,0.0,,,,,,,,0.0,33,9
,,6.0,,0.0,6.0,7.0,7.0,,7.0,0.0,,7.0,6.0,,0,7.0,,1.0,2,4.0,6.0,2.0,7.0,,,7.0,7.0,,,,,,,7.0,6.0,,,3.0,4.0,0,2.0,,7.0,4.0,0.0,,6.0,5.0,0.0,7.0,,,,7.0,,5.0,,,7.0,,0.0,5.0,,,0,,2.0,,5.0,,,,,,,,7.0,7.0,7.0,5.0,,5.0,2.0,4.0,,,,0.0,,,0.0,34,9
,,,,,5.0,,3.0,,,,,5.0,5.0,1.0,3,1.0,,,2,4.0,,0.0,,,0.0,,,,2.0,5.0,4.0,2.0,,1.0,0.0,,,1.0,5.0,5,1.0,,,4.0,,5.0,,5.0,0.0,5.0,,,,0.0,2.0,3.0,,,,,5.0,3.0,,5.0,0,1.0,4.0,5.0,,,,2.0,,,0.0,0.0,,5.0,4.0,,,5.0,1.0,0.0,,,1.0,,,0.0,,35,9
,,0.0,0.0,9.0,9.0,9.0,10.0,6.0,10.0,9.0,,0.0,9.0,10.0,8,9.0,,,5,8.0,10.0,,1.0,3.0,,7.0,9.0,10.0,10.0,,10.0,,,9.0,0.0,,,7.0,2.0,8,7.0,10.0,4.0,8.0,10.0,10.0,9.0,0.0,4.0,0.0,,1.0,7.0,10.0,8.0,,2.0,9.0,0.0,2.0,9.0,6.0,,,4,,8.0,10.0,0.0,,,,,,,10.0,10.0,,10.0,0.0,,8.0,,10.0,10.0,10.0,,,0.0,,,36,9
,,7.0,,8.0,0.0,7.0,8.0,5.0,4.0,8.0,,7.0,8.0,7.0,5,7.0,,,6,5.0,,,,7.0,,,4.0,,8.0,7.0,,,,,8.0,,,8.0,8.0,0,6.0,,8.0,6.0,8.0,,,8.0,,8.0,7.0,,,,,0.0,0.0,8.0,4.0,0.0,0.0,5.0,5.0,8.0,5,,7.0,2.0,,8.0,,0.0,,,,2.0,8.0,8.0,7.0,,0.0,0.0,2.0,8.0,,,6.0,0.0,,,,37,9
,6.0,4.0,,,6.0,8.0,8.0,,,,1.0,,8.0,0.0,6,0.0,,,1,7.0,6.0,0.0,,0.0,2.0,,,,7.0,8.0,,,,,,,8.0,8.0,1.0,0,5.0,,,8.0,7.0,8.0,7.0,8.0,,0.0,,3.0,,7.0,,,8.0,0.0,7.0,,7.0,5.0,8.0,0.0,2,0.0,4.0,,,,,,,,1.0,4.0,8.0,,8.0,0.0,,8.0,1.0,8.0,,,5.0,,,,,38,9
,,7.0,,,3.0,7.0,7.0,6.0,7.0,7.0,,,7.0,2.0,4,6.0,,,4,6.0,7.0,0.0,,0.0,,,7.0,0.0,0.0,,,0.0,6.0,7.0,7.0,7.0,,2.0,0.0,5,2.0,0.0,7.0,5.0,7.0,7.0,6.0,7.0,2.0,0.0,,,,6.0,,,6.0,6.0,6.0,4.0,0.0,5.0,7.0,7.0,4,,5.0,0.0,3.0,,,,,,,,3.0,7.0,5.0,,,6.0,,7.0,3.0,,7.0,4.0,,,,39,9
,1.0,13.0,,10.0,12.0,3.0,13.0,13.0,3.0,6.0,,13.0,10.0,13.0,11,12.0,0.0,9.0,11,11.0,,10.0,,,,,12.0,13.0,13.0,8.0,,0.0,,12.0,11.0,,,0.0,12.0,12,12.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,,1.0,5.0,0.0,,,13.0,13.0,13.0,1.0,0.0,12.0,4.0,0.0,2,,0.0,13.0,,13.0,,,6.0,,,13.0,0.0,13.0,0.0,,,12.0,12.0,,9.0,12.0,13.0,0.0,,5.0,,40,9
,,7.0,,7.0,5.0,0.0,7.0,,1.0,7.0,,6.0,6.0,7.0,5,7.0,,,2,6.0,7.0,,,0.0,0.0,,0.0,6.0,6.0,7.0,,,,,7.0,4.0,,3.0,4.0,5,5.0,,7.0,7.0,7.0,5.0,6.0,7.0,,6.0,,,,0.0,7.0,,7.0,6.0,6.0,,7.0,4.0,6.0,,3,3.0,4.0,0.0,6.0,7.0,,,,,,0.0,6.0,6.0,1.0,,,0.0,,0.0,,,2.0,3.0,,,0.0,41,9
0.0,,9.0,,9.0,10.0,8.0,9.0,10.0,,0.0,9.0,3.0,5.0,,6,8.0,8.0,,7,8.0,10.0,0.0,,,10.0,0.0,10.0,10.0,10.0,,9.0,10.0,,6.0,10.0,,,10.0,0.0,0,9.0,7.0,9.0,0.0,10.0,5.0,9.0,4.0,10.0,3.0,,,,5.0,0.0,,,,,,8.0,10.0,10.0,,8,,0.0,,8.0,,,0.0,10.0,,,10.0,10.0,,,,,9.0,,,,,,5.0,,,,42,9
5.0,,0.0,,8.0,4.0,1.0,7.0,2.0,0.0,8.0,0.0,3.0,8.0,,0,6.0,,2.0,3,6.0,,8.0,2.0,5.0,,,8.0,5.0,,,8.0,5.0,,,8.0,,,7.0,6.0,6,7.0,1.0,7.0,7.0,0.0,,8.0,6.0,,5.0,4.0,,,8.0,,,,8.0,8.0,,8.0,0.0,0.0,,4,,7.0,8.0,,,,8.0,0.0,,,,7.0,0.0,8.0,,,7.0,0.0,,,8.0,,,,,,43,9
,,9.0,,10.0,9.0,10.0,0.0,10.0,7.0,10.0,,10.0,8.0,8.0,8,7.0,,,8,1.0,,,,0.0,,,9.0,10.0,4.0,10.0,,,0.0,2.0,9.0,,,9.0,10.0,9,5.0,10.0,8.0,1.0,9.0,,10.0,7.0,,2.0,,10.0,0.0,9.0,,,9.0,10.0,10.0,,10.0,0.0,10.0,0.0,6,,7.0,6.0,,8.0,,0.0,8.0,,,9.0,10.0,0.0,5.0,,4.0,9.0,,10.0,0.0,10.0,9.0,,6.0,,0.0,44,9
0.0,0.0,0.0,,,,,5.0,,3.0,7.0,7.0,,6.0,,6,4.0,,,5,7.0,,7.0,,2.0,5.0,7.0,,1.0,0.0,,,,,7.0,6.0,,,0.0,7.0,7,7.0,,7.0,6.0,,,,6.0,1.0,,0.0,,6.0,7.0,,,3.0,6.0,6.0,,4.0,0.0,,,4,7.0,2.0,3.0,0.0,,0.0,2.0,,,,,,5.0,7.0,,,4.0,,5.0,,,,,,,0.0,45,9
4.0,,6.0,1.0,7.0,6.0,4.0,7.0,7.0,,0.0,0.0,6.0,0.0,6.0,4,6.0,,1.0,5,0.0,,7.0,,,,,5.0,7.0,0.0,7.0,,1.0,,6.0,1.0,,0.0,6.0,1.0,6,6.0,7.0,7.0,6.0,7.0,5.0,3.0,5.0,7.0,7.0,,,,5.0,,2.0,,7.0,,,7.0,1.0,6.0,,4,,0.0,0.0,,7.0,,,,,,7.0,7.0,5.0,3.0,,,5.0,0.0,,3.0,4.0,0.0,,,,,46,9
,,8.0,,8.0,6.0,7.0,10.0,10.0,,10.0,,8.0,4.0,0.0,8,6.0,10.0,,6,7.0,,,,,,,9.0,10.0,10.0,8.0,10.0,0.0,,9.0,3.0,,,0.0,8.0,0,7.0,,8.0,0.0,4.0,0.0,10.0,9.0,,9.0,,10.0,,10.0,,,,,,,10.0,7.0,10.0,,5,,9.0,0.0,,0.0,,5.0,9.0,,4.0,9.0,0.0,7.0,2.0,,0.0,8.0,7.0,10.0,,,7.0,,,9.0,,47,9
,5.0,6.0,,7.0,0.0,6.0,7.0,0.0,6.0,4.0,0.0,7.0,4.0,7.0,6,3.0,0.0,,5,6.0,,4.0,,,,,6.0,7.0,3.0,,7.0,,,7.0,,,3.0,7.0,7.0,5,0.0,7.0,0.0,1.0,7.0,,,6.0,7.0,,,,,7.0,0.0,,0.0,,,,,6.0,,,7,,6.0,7.0,0.0,,,5.0,,7.0,,,,,,,,2.0,,,,6.0,,,0.0,4.0,,48,9
,0.0,,,1.0,8.0,9.0,8.0,,,,4.0,9.0,,,7,7.0,,5.0,6,5.0,,0.0,,8.0,0.0,,6.0,,8.0,9.0,1.0,,,9.0,8.0,,,,9.0,9,8.0,,,9.0,9.0,4.0,9.0,9.0,,0.0,,,,9.0,,,0.0,9.0,9.0,,7.0,9.0,9.0,3.0,0,0.0,6.0,9.0,6.0,9.0,5.0,,0.0,,2.0,0.0,7.0,9.0,7.0,,4.0,9.0,,6.0,,0.0,8.0,,,,,49,9
,,8.0,,8.0,7.0,7.0,8.0,8.0,7.0,7.0,,7.0,8.0,,5,0.0,0.0,0.0,2,6.0,0.0,,,8.0,,,5.0,,5.0,6.0,8.0,,,8.0,8.0,,7.0,8.0,2.0,0,6.0,6.0,8.0,8.0,6.0,8.0,8.0,4.0,,7.0,,,,7.0,6.0,,0.0,0.0,4.0,,,6.0,8.0,,1,,7.0,,5.0,8.0,,0.0,,,0.0,,8.0,8.0,2.0,,,0.0,,8.0,3.0,8.0,8.0,,,,,50,9
,,0.0,2.0,0.0,6.0,6.0,2.0,,,,,,6.0,,4,,,,0,4.0,,,,,,,6.0,,2.0,6.0,,,1.0,3.0,6.0,,,5.0,2.0,5,5.0,,6.0,0.0,6.0,6.0,2.0,6.0,,6.0,,,,4.0,,1.0,4.0,6.0,6.0,,6.0,3.0,4.0,0.0,0,,5.0,,,0.0,0.0,,,,,,5.0,6.0,1.0,,0.0,5.0,,1.0,,0.0,6.0,,,,,51,9
,,0.0,3.0,1.0,9.0,8.0,9.0,0.0,,1.0,,9.0,6.0,,8,8.0,,,0,7.0,,5.0,1.0,0.0,7.0,,7.0,8.0,0.0,,8.0,5.0,,8.0,8.0,8.0,4.0,6.0,,4,,7.0,3.0,6.0,9.0,,,0.0,8.0,,,8.0,,,0.0,,,,,,,,,,9,0.0,,,,,,9.0,0.0,0.0,,,7.0,,,,,7.0,,,9.0,9.0,,,,,1.0,52,9
,,2.0,0.0,7.0,8.0,7.0,8.0,7.0,9.0,6.0,3.0,8.0,1.0,9.0,8,6.0,,,0,2.0,,9.0,,,,,4.0,0.0,,,9.0,,,6.0,7.0,,3.0,6.0,9.0,7,9.0,0.0,5.0,5.0,2.0,,,8.0,4.0,,,6.0,0.0,7.0,9.0,0.0,,,,9.0,,0.0,,,0,,,8.0,,,0.0,0.0,,,,5.0,9.0,9.0,9.0,3.0,,2.0,7.0,,8.0,8.0,9.0,,,,,53,9
